Date,CurationRequest,AuthorSubmitted
2004-06-01,0,95
2004-07-01,0,386
2004-11-01,0,2230
2004-12-01,0,4051
2006-01-01,0,30153
2006-07-07,0,30195
2006-11-03,0,30645
2007-03-09,2,31471
2007-03-23,2,37957
2007-04-13,11,37957
2007-04-27,14,37957
2007-05-25,32,37957
2007-06-15,72,37957
2007-06-22,86,37957
2007-07-13,86,50017
2007-08-24,91,50884
2007-08-31,95,50884
2007-09-24,95,51762
2007-11-30,151,51762
2008-02-25,154,51762
2008-02-29,154,51855
2008-03-28,155,51855
2008-05-03,207,52359
2008-05-16,207,52954
2008-06-06,207,56647
2008-06-20,211,56647
2008-08-22,228,56675
2009-01-09,287,57240
2009-01-23,287,57694
2009-02-06,299,57694
2009-02-20,318,57694
2009-04-17,328,57694
2009-05-05,328,57709
2009-05-15,328,57903
2009-06-01,2133,58483
2009-06-12,2634,58483
2009-07-10,2637,59570
2009-07-17,2641,59977
2009-08-21,6431,59977
2009-10-09,6431,60046
2009-11-27,6462,60046
2010-01-01,6882,60046
2010-01-15,8468,61401
2010-01-22,8468,61580
2010-03-19,8468,61977
2010-04-23,8468,64519
2010-05-07,8468,64638
2010-07-23,8468,66884
2010-08-18,8468,66986
2010-09-03,8468,75666
2010-10-07,8468,76521
2010-11-03,8468,76557
2010-12-03,8480,77520
2010-12-15,8480,77540
2011-01-10,8480,81372
2011-02-01,8480,81709
2011-03-03,8480,82085
2011-04-01,8480,82862
2011-04-19,8513,83268
2011-08-18,8513,83376
2011-09-14,8513,86786
2011-10-03,8513,87247
2011-10-28,8513,93948
2011-11-21,8513,94263
2012-01-09,8519,94263
2012-05-01,8519,94518
2012-06-15,8519,94543
2012-07-19,8519,96236
2012-10-11,8519,97120
2012-11-14,8519,97285
2012-12-17,8519,97457
2013-02-01,8519,98569
2013-02-28,8519,99223
2013-03-27,8519,100185
2013-04-13,8519,101351
2013-05-03,8519,102410
2013-06-10,8519,102507
2013-06-19,8519,102927
2013-06-26,8519,119843
2013-08-09,8519,119897
2013-09-02,8519,119928
2013-09-30,8527,119928
2013-10-11,8527,121098
2013-10-28,8527,122277
2013-11-22,8726,122290
2014-01-10,8830,122770
2014-02-18,8830,125340
2014-03-10,8830,125896
2014-03-31,8830,127437
2014-05-01,8830,128755
2014-07-21,8830,131574
2014-09-18,8842,131574
2014-10-20,8842,132117
2014-11-12,8842,147510
2014-12-22,8901,147874
2015-01-22,8901,148631
2015-02-25,8905,192958
2015-04-10,8905,194544
2015-06-15,8925,195520
2015-08-25,8928,195520
2015-10-21,8928,226562
2015-12-02,8928,233855
2016-01-13,8929,234284
2016-01-19,8929,234828
2016-02-22,8946,240976
2016-04-11,8946,243664
2016-06-22,8946,244039
2016-08-03,8946,408829
2016-09-13,8946,411065
2016-10-14,8946,411131
2016-12-19,8969,415149
2017-01-31,10459,417431
2017-03-13,10479,440001
2017-04-10,10479,442063
2017-06-08,10488,442270
2017-07-12,10488,459132
2017-09-05,10488,459751
2017-12-18,10488,460201
2018-03-27,10488,469013
2018-05-16,10488,469209
2018-06-22,10488,469861
2018-08-08,10488,471269
2018-09-10,10488,472366
2018-10-08,10488,473358
2018-12-04,10488,475988
2019-02-15,10488,476362
2019-03-25,10488,479706
2019-05-09,10488,485449
2019-07-22,10488,485465
2019-08-30,10488,488912
2019-10-03,10488,489693
2019-11-20,10488,489842
2019-12-19,10488,489849
2020-02-03,10500,497362
2020-05-04,10515,504304
2020-07-09,10519,506143
2020-09-28,10707,507099
2020-11-11,10707,508226
2020-12-23,10707,509788
2021-03-15,10707,527582
2021-05-18,10718,528202
2021-07-12,10827,529937
2022-01-20,10827,529937
