Organism,Reference,Percentage,Proteins
Homo sapiens,79038,38.095599585009744,30110
Drosophila melanogaster (Fruit fly),22088,54.22401303875407,11977
Mus musculus,55341,16.72720044813068,9257
Arabidopsis thaliana (Mouse-ear cress),39334,21.380993542482333,8410
Saccharomyces cerevisiae,6050,97.42148760330579,5894
Caenorhabditis elegans,26584,19.586969605777913,5207
Rattus norvegicus (Rat),29928,13.849906442127773,4145
Escherichia coli (strain K12),4438,73.8846327174403,3279
Synechocystis sp. (strain PCC 6803 / Kazusa),3507,55.118334759053326,1933
Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168),1623,79.72889710412817,1294
